UF_RES,UF_MOV,HOSPITALIZACOES,RES_LAT,RES_LON,MOV_LAT,MOV_LON
Espírito Santo,Rio Grande do Sul,1,-19.56783026436436,-40.66688741798281,-29.678839629718627,-53.320051841053065
Espírito Santo,Rio de Janeiro,64,-19.56783026436436,-40.66688741798281,-22.1927501263549,-42.66029361738904
Espírito Santo,Santa Catarina,2,-19.56783026436436,-40.66688741798281,-27.240610757469174,-50.47740300071737
Espírito Santo,São Paulo,48,-19.56783026436436,-40.66688741798281,-22.250052902639116,-48.734659900719734
Goiás,Acre,1,-16.021068269554988,-49.61616789197541,-9.209710893485735,-70.47578331421067
Goiás,Alagoas,2,-16.021068269554988,-49.61616789197541,-9.513145847398288,-36.62481420015896
Goiás,Amapá,1,-16.021068269554988,-49.61616789197541,1.446579361967846,-51.96205349152536
Goiás,Bahia,9,-16.021068269554988,-49.61616789197541,-12.45234511713527,-41.72176450233577
Goiás,Ceará,4,-16.021068269554988,-49.61616789197541,-5.089815983830066,-39.61608178595244
Goiás,Distrito Federal,2937,-16.021068269554988,-49.61616789197541,-15.780989331973725,-47.79684222599829
Goiás,Espírito Santo,1,-16.021068269554988,-49.61616789197541,-19.56783026436436,-40.66688741798281
Goiás,Maranhão,2,-16.021068269554988,-49.61616789197541,-5.063473525889801,-45.286406362550146
Goiás,Mato Grosso,51,-16.021068269554988,-49.61616789197541,-12.916186132060574,-55.9149517572351
Goiás,Mato Grosso do Sul,6,-16.021068269554988,-49.61616789197541,-20.304769734215245,-54.84700428372272
Goiás,Minas Gerais,21,-16.021068269554988,-49.61616789197541,-18.42237047816257,-44.668033901736656
Goiás,Paraná,18,-16.021068269554988,-49.61616789197541,-24.624367999451334,-51.617875384343
Goiás,Paraíba,1,-16.021068269554988,-49.61616789197541,-7.12044513673908,-36.83247370477853
Goiás,Pará,3,-16.021068269554988,-49.61616789197541,-3.96360452999938,-53.07098190581554
Goiás,Pernambuco,4,-16.021068269554988,-49.61616789197541,-8.324409775914233,-37.99762312297779
Goiás,Rio Grande do Sul,1,-16.021068269554988,-49.61616789197541,-29.678839629718627,-53.320051841053065
Goiás,Rio de Janeiro,2,-16.021068269554988,-49.61616789197541,-22.1927501263549,-42.66029361738904
Goiás,Rondônia,2,-16.021068269554988,-49.61616789197541,-10.90442312825415,-62.84474092395724
Goiás,Santa Catarina,4,-16.021068269554988,-49.61616789197541,-27.240610757469174,-50.47740300071737
Goiás,São Paulo,159,-16.021068269554988,-49.61616789197541,-22.250052902639116,-48.734659900719734
Goiás,Tocantins,18,-16.021068269554988,-49.61616789197541,-10.131696777104315,-48.330725819425574
Maranhão,Amapá,1,-5.063473525889801,-45.286406362550146,1.446579361967846,-51.96205349152536
Maranhão,Amazonas,1,-5.063473525889801,-45.286406362550146,-4.140190123349732,-64.6516494903481
Maranhão,Bahia,9,-5.063473525889801,-45.286406362550146,-12.45234511713527,-41.72176450233577
Maranhão,Ceará,7,-5.063473525889801,-45.286406362550146,-5.089815983830066,-39.61608178595244
Maranhão,Distrito Federal,3,-5.063473525889801,-45.286406362550146,-15.780989331973725,-47.79684222599829
Maranhão,Espírito Santo,1,-5.063473525889801,-45.286406362550146,-19.56783026436436,-40.66688741798281
Maranhão,Goiás,10,-5.063473525889801,-45.286406362550146,-16.021068269554988,-49.61616789197541
Maranhão,Mato Grosso,22,-5.063473525889801,-45.286406362550146,-12.916186132060574,-55.9149517572351
Maranhão,Mato Grosso do Sul,3,-5.063473525889801,-45.286406362550146,-20.304769734215245,-54.84700428372272
Maranhão,Minas Gerais,7,-5.063473525889801,-45.286406362550146,-18.42237047816257,-44.668033901736656
Maranhão,Paraná,3,-5.063473525889801,-45.286406362550146,-24.624367999451334,-51.617875384343
Maranhão,Paraíba,4,-5.063473525889801,-45.286406362550146,-7.12044513673908,-36.83247370477853
Maranhão,Pará,10,-5.063473525889801,-45.286406362550146,-3.96360452999938,-53.07098190581554
Maranhão,Pernambuco,39,-5.063473525889801,-45.286406362550146,-8.324409775914233,-37.99762312297779
Maranhão,Piauí,313,-5.063473525889801,-45.286406362550146,-7.378677773863817,-42.96696522142286
Maranhão,Rio Grande do Sul,3,-5.063473525889801,-45.286406362550146,-29.678839629718627,-53.320051841053065
Maranhão,Rio de Janeiro,7,-5.063473525889801,-45.286406362550146,-22.1927501263549,-42.66029361738904
Maranhão,Roraima,2,-5.063473525889801,-45.286406362550146,2.0807402503971426,-61.39173494334764
